ファイル名,認識結果
星光合否判定テスト_採点前_01_mosaic,01675362
星光合否判定テスト_採点前_02_mosaic,01688450
星光合否判定テスト_採点前_03_mosaic,01696389
星光合否判定テスト_採点前_05_mosaic,01712115
星光合否判定テスト_採点前_06_mosaic,01714796
星光合否判定テスト_採点前_07_mosaic,01721393
星光合否判定テスト_採点前_09_mosaic,01727599
星光合否判定テスト_採点前_10_mosaic,01738873
星光合否判定テスト_採点前_12_mosaic,01744289
星光合否判定テスト_採点前_13_mosaic,01749784
星光合否判定テスト_採点前_14_mosaic,01754761
星光合否判定テスト_採点前_15_mosaic,01756398
星光合否判定テスト_採点前_16_mosaic,01758349
星光合否判定テスト_採点前_17_mosaic,01760565
星光合否判定テスト_採点前_18_mosaic,01760999
星光合否判定テスト_採点前_19_mosaic,01762808
星光合否判定テスト_採点前_20_mosaic,01773351
星光合否判定テスト_採点前_21_mosaic,01777903
星光合否判定テスト_採点前_22_mosaic,01784221
星光合否判定テスト_採点前_23_mosaic,01786275
星光合否判定テスト_採点前_24_mosaic,01786480
星光合否判定テスト_採点前_25_mosaic,01788334
星光合否判定テスト_採点前_26_mosaic,01788514
星光合否判定テスト_採点前_27_mosaic,01790477
星光合否判定テスト_採点前_28_mosaic,01791246
星光合否判定テスト_採点前_29_mosaic,01792986
星光合否判定テスト_採点前_30_mosaic,01793201
星光合否判定テスト_採点前_31_mosaic,01793209
星光合否判定テスト_採点前_32_mosaic,01801082
星光合否判定テスト_採点前_33_mosaic,01801273
星光合否判定テスト_採点前_34_mosaic,01801481
星光合否判定テスト_採点前_35_mosaic,01802103
星光合否判定テスト_採点前_36_mosaic,01804001
星光合否判定テスト_採点前_37_mosaic,01805167
星光合否判定テスト_採点前_38_mosaic,01807247
星光合否判定テスト_採点前_39_mosaic,01807698
星光合否判定テスト_採点前_40_mosaic,01809137
星光合否判定テスト_採点前_41_mosaic,01810355
星光合否判定テスト_採点前_42_mosaic,01812584
星光合否判定テスト_採点前_43_mosaic,01812792
星光合否判定テスト_採点前_44_mosaic,01813097
星光合否判定テスト_採点前_45_mosaic,01813454
星光合否判定テスト_採点前_46_mosaic,01815267
星光合否判定テスト_採点前_47_mosaic,01816542
星光合否判定テスト_採点前_48_mosaic,01822001
星光合否判定テスト_採点前_49_mosaic,01825410
星光合否判定テスト_採点前_50_mosaic,01825887
