ファイル名,認識結果,信頼度,個別予測,個別信頼度
星光合否判定テスト_採点前_5_mosaic,01712115,0.9771,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[1, 1, 1]|[2, 2, 2]|[1, 1, 1]|[1, 1, 1]|[5, 5, 5]","[0.9999911785125732, 0.9999903440475464, 0.9999889135360718]|[0.9997969269752502, 0.9997969269752502, 0.9997969269752502]|[0.9619755744934082, 0.994644045829773, 0.9619755744934082]|[0.9999828338623047, 0.9999887943267822, 0.9999828338623047]|[0.9183671474456787, 0.7233456969261169, 0.9200994968414307]|[0.9999998807907104, 0.9999997615814209, 0.9999992847442627]|[0.9999992847442627, 0.9999992847442627, 0.9999994039535522]|[0.9887064695358276, 0.9937688708305359, 0.9887064695358276]"
星光合否判定テスト_採点前_48_mosaic,01822001,0.9654,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[2, 2, 2]|[2, 2, 2, 2, 7, 2, 2, 7, 2, 2, 2, 7, 2, 7, 7, 2, 7, 2, 2, 2, 2, 2, 7, 7, 2, 7, 2]|[0, 0, 0]|[0, 0, 0]|[1, 1, 1]","[0.998380184173584, 0.998380184173584, 0.998380184173584]|[0.9998630285263062, 0.9999417066574097, 0.9999115467071533]|[1.0, 0.9999994039535522, 0.9999998807907104]|[0.8540971279144287, 0.8540971279144287, 0.8540971279144287]|[0.9865249395370483, 0.9901131391525269, 0.947372555732727, 0.987500786781311, 0.9998053908348083, 0.5244825482368469, 0.991393506526947, 0.6247187256813049, 0.7654146552085876, 0.9950605034828186, 0.7556107640266418, 0.6477723717689514, 0.9782918691635132, 0.9990288019180298, 0.9478694796562195, 0.9976600408554077, 0.686822772026062, 0.9981299042701721, 0.9911025762557983, 0.6490827202796936, 0.989944338798523, 0.9910769462585449, 0.9993593096733093, 0.7197229862213135, 0.995668888092041, 0.5018269419670105, 0.9983489513397217]|[0.9999860525131226, 0.999993085861206, 0.9999929666519165]|[0.9999988079071045, 0.9999979734420776, 0.9999932050704956]|[0.9945863485336304, 0.9945863485336304, 0.9933810234069824]"
星光合否判定テスト_採点前_35_mosaic,01802103,0.9902,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[2, 2, 2]|[1, 1, 1]|[0, 0, 0]|[3, 3, 3]","[0.9992941617965698, 0.9993663430213928, 0.9992941617965698]|[1.0, 1.0, 1.0]|[1.0, 1.0, 1.0]|[0.9976982474327087, 0.99574214220047, 0.9976982474327087]|[0.9943979382514954, 0.9943979382514954, 0.8110997676849365]|[1.0, 1.0, 1.0]|[0.9995019435882568, 0.9995019435882568, 0.9999425411224365]|[0.9995637536048889, 0.9995637536048889, 0.9770948886871338]"
星光合否判定テスト_採点前_44_mosaic,01813097,0.9881,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[1, 1, 1]|[3, 3, 3]|[0, 0, 0]|[9, 9, 9]|[7, 7, 7]","[0.9999995231628418, 0.9999997615814209, 1.0]|[0.9999997615814209, 0.9999982118606567, 0.9999986886978149]|[0.9773184657096863, 0.9773184657096863, 0.9773184657096863]|[0.9999995231628418, 0.9999992847442627, 0.999998927116394]|[0.9999997615814209, 0.9999997615814209, 0.9999992847442627]|[1.0, 1.0, 0.9999984502792358]|[0.9518561959266663, 0.9518561959266663, 0.9518561959266663]|[0.9738757014274597, 0.9832714200019836, 0.9697035551071167]"
星光合否判定テスト_採点前_39_mosaic,01807698,0.9999,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[7, 7, 7]|[6, 6, 6]|[9, 9, 9]|[8, 8, 8]","[0.9999961853027344, 0.9999908208847046, 0.9999961853027344]|[0.999998927116394, 0.9999994039535522, 0.999998927116394]|[0.9999921321868896, 0.9999947547912598, 0.9999921321868896]|[0.9999927282333374, 0.9999861717224121, 0.9999927282333374]|[0.9997566342353821, 0.9991005659103394, 0.9996602535247803]|[1.0, 1.0, 0.9999998807907104]|[0.9999831914901733, 0.999995231628418, 0.9999831914901733]|[0.9999022483825684, 0.9999022483825684, 0.9999022483825684]"
星光合否判定テスト_採点前_9_mosaic,01927599,0.9416,"[0, 0, 0]|[1, 1, 1]|[7, 9, 7, 9, 9, 9, 7, 4, 7, 7, 9, 7, 9, 9, 9, 7, 9, 9, 7, 7, 7, 9, 9, 9, 7, 9, 7]|[2, 2, 2]|[7, 7, 7]|[5, 5, 5]|[9, 9, 9]|[9, 9, 9]","[0.9999992847442627, 0.9999274015426636, 0.9999992847442627]|[0.9999996423721313, 0.9999996423721313, 0.9999983310699463]|[0.6038026809692383, 0.6364602446556091, 0.9825791120529175, 0.650713324546814, 0.8956968784332275, 0.8552597165107727, 0.954791247844696, 0.37232422828674316, 0.7637650966644287, 0.977159321308136, 0.6895126700401306, 0.9437220096588135, 0.6476475596427917, 0.9842677712440491, 0.9606783986091614, 0.9955220222473145, 0.540103554725647, 0.7360658049583435, 0.9929068088531494, 0.6523821949958801, 0.9647679328918457, 0.36942651867866516, 0.9803115129470825, 0.7605469226837158, 0.9965217113494873, 0.40709900856018066, 0.9937973618507385]|[0.9999977350234985, 0.999994158744812, 0.9999997615814209]|[0.9665959477424622, 0.9237555265426636, 0.9665959477424622]|[0.986564040184021, 0.6911890506744385, 0.9878013730049133]|[0.8656713962554932, 0.8679515719413757, 0.981988251209259]|[0.9971345663070679, 0.9986836314201355, 0.9971345663070679]"
星光合否判定テスト_採点前_27_mosaic,01790477,0.9852,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[9, 9, 9, 9, 9, 9, 9, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 9]|[0, 0, 0]|[4, 4, 4]|[7, 7, 7]|[7, 7, 7]","[1.0, 1.0, 1.0]|[0.9999927282333374, 0.9999872446060181, 0.9999911785125732]|[0.9984850287437439, 0.9984850287437439, 0.9956743121147156]|[0.9981991648674011, 0.583448052406311, 0.9956996440887451, 0.8821934461593628, 0.9390709400177002, 0.9028158187866211, 0.9800658226013184, 0.8085456490516663, 0.9240049123764038, 0.9899997115135193, 0.9428306818008423, 0.9901412129402161, 0.9875860214233398, 0.887982964515686, 0.9949710369110107, 0.9583004117012024, 0.869101345539093, 0.9090656638145447, 0.927288293838501, 0.6371501088142395, 0.9956996440887451, 0.9225010871887207, 0.6914932727813721, 0.9517791271209717, 0.8389643430709839, 0.6451142430305481, 0.9137041568756104]|[0.9999958276748657, 0.999997615814209, 0.9999575614929199]|[0.9999998807907104, 0.9999998807907104, 0.9999994039535522]|[0.9974163770675659, 0.9974163770675659, 0.9974163770675659]|[0.996660590171814, 0.996660590171814, 0.9926736950874329]"
星光合否判定テスト_採点前_11_mosaic,01743893,0.9840,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[4, 4, 4]|[3, 3, 3]|[8, 8, 8]|[9, 9, 9]|[3, 3, 3]","[0.9689646363258362, 0.9689646363258362, 0.918825626373291]|[0.9999891519546509, 0.9999891519546509, 0.9999891519546509]|[0.9687148928642273, 0.9687148928642273, 0.9863596558570862]|[0.9963952898979187, 0.9982112646102905, 0.9276671409606934]|[0.9999260902404785, 0.9999949932098389, 0.999919056892395]|[0.9999616146087646, 0.9999616146087646, 0.999998927116394]|[0.986113965511322, 0.986113965511322, 0.9551725387573242]|[0.9989796280860901, 0.988969087600708, 0.9989796280860901]"
星光合否判定テスト_採点前_25_mosaic,01788334,0.9944,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[8, 8, 8]|[8, 8, 8]|[3, 3, 3]|[3, 3, 3]|[4, 4, 4]","[0.9990014433860779, 0.9331901669502258, 0.9968411922454834]|[1.0, 0.999996542930603, 1.0]|[0.9998086094856262, 0.9998086094856262, 0.9998086094856262]|[0.983637809753418, 0.983637809753418, 0.9996774196624756]|[0.9999990463256836, 0.9999978542327881, 0.9999990463256836]|[1.0, 1.0, 1.0]|[0.9941224455833435, 0.9941224455833435, 0.981342613697052]|[0.9999818801879883, 0.9999862909317017, 0.999984860420227]"
星光合否判定テスト_採点前_46_mosaic,01815267,1.0000,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[1, 1, 1]|[5, 5, 5]|[2, 2, 2]|[6, 6, 6]|[7, 7, 7]","[0.9999977350234985, 0.9999990463256836, 1.0]|[0.9999997615814209, 0.9999997615814209, 0.9999977350234985]|[0.9999867677688599, 0.9999867677688599, 0.9999986886978149]|[1.0, 1.0, 0.9999997615814209]|[1.0, 1.0, 1.0]|[0.9999903440475464, 0.9999724626541138, 0.9997910857200623]|[1.0, 0.9999997615814209, 1.0]|[0.9999792575836182, 0.9999799728393555, 0.9999792575836182]"
